Date,Adj_Close,Adj_Volume
14/02/2001,97.88416996,8400100
15/02/2001,98.83291707,5929800
16/02/2001,96.65375866,6434900
20/02/2001,95.16393059,5760000
21/02/2001,93.11078229,10910800
22/02/2001,93.25160846,21281600
23/02/2001,92.62158084,20173000
26/02/2001,94.59320197,11503700
27/02/2001,93.71857362,11415000
28/02/2001,91.87295741,14825800
01/03/2001,92.35474455,14672000
02/03/2001,91.62094903,12564300
05/03/2001,92.45851393,5293200
06/03/2001,93.45173808,6917000
07/03/2001,94.11882768,6371700
08/03/2001,94.22259705,6055000
09/03/2001,91.43564657,10020300
12/03/2001,87.52205936,13972900
13/03/2001,88.96000274,12888000
14/03/2001,87.20333913,19883400
15/03/2001,87.22557394,10370300
16/03/2001,85.48076746,58514600
19/03/2001,87.21996101,10067800
20/03/2001,84.87873418,15083900
21/03/2001,83.43683992,19004600
22/03/2001,82.58953979,28624800
23/03/2001,85.08684763,12861700
26/03/2001,86.17198659,9943800
27/03/2001,87.93347754,12880700
28/03/2001,85.50306411,10953300
29/03/2001,85.830094,12060300
30/03/2001,86.72942138,9183600
02/04/2001,84.87873418,10561000
03/04/2001,82.04696696,12836000
04/04/2001,82.38885956,14884300
05/04/2001,85.51049806,21522800
06/04/2001,84.2098169,14937800
09/04/2001,85.14630362,9034300
10/04/2001,86.69969152,17873600
11/04/2001,86.75915198,12722300
12/04/2001,88.33483058,9233200
16/04/2001,87.40577261,7350000
17/04/2001,88.63956457,10924700
18/04/2001,92.16255092,32481600
19/04/2001,93.38890893,13809900
20/04/2001,92.53417411,7626700
23/04/2001,90.85443581,8451800
24/04/2001,90.36389617,10044700
25/04/2001,91.54565494,8249000
26/04/2001,91.95444267,10590400
27/04/2001,93.48552873,7938700
30/04/2001,94.13958926,10766900
01/05/2001,94.4294546,10578000
02/05/2001,94.2585057,9572900
03/05/2001,93.06187829,9926200
04/05/2001,94.64499085,12145300
07/05/2001,93.82742132,7185200
08/05/2001,93.78282802,6952600
09/05/2001,93.38890893,9507400
10/05/2001,93.66390637,6872400
11/05/2001,93.01728574,7734400
14/05/2001,93.20309733,7914000
15/05/2001,93.63418098,9782200
16/05/2001,95.84161826,14909000
17/05/2001,95.99026531,11824600
18/05/2001,96.42878885,6683100
21/05/2001,97.84838125,11531500
22/05/2001,97.72203085,8342700
23/05/2001,96.0645944,12330800
24/05/2001,96.34703174,7902800
25/05/2001,95.20986553,7425000
29/05/2001,94.45175125,9003900
30/05/2001,93.12877344,10041800
31/05/2001,93.61187913,9874200
01/06/2001,94.19161576,8848300
04/06/2001,94.64499085,5623500
05/06/2001,95.73013576,9115400
06/06/2001,94.93486214,12064900
07/06/2001,95.27675473,7355300
08/06/2001,94.39229005,8170600
11/06/2001,93.72336683,7012200
12/06/2001,93.55985188,9364400
13/06/2001,92.75715025,7629400
14/06/2001,90.67605816,12603000
15/06/2001,90.82173296,16821100
18/06/2001,90.38197539,11368300
19/06/2001,90.77701379,7732300
20/06/2001,91.25404144,8787200
21/06/2001,92.29008749,12259100
22/06/2001,91.56708983,12212000
25/06/2001,90.72483881,8406800
26/06/2001,90.59812963,8005800
27/06/2001,90.54595465,10105100
28/06/2001,91.04534301,10269300
29/06/2001,91.38075062,9824200
02/07/2001,92.52114588,8522200
03/07/2001,92.49878592,3303100
05/07/2001,90.69502379,5517900
06/07/2001,88.73473746,11665900
09/07/2001,89.21921495,8339300
10/07/2001,88.14590479,8630700
11/07/2001,88.23534388,15328600
12/07/2001,90.32980041,12002800
13/07/2001,91.11242214,10433800
16/07/2001,89.97202688,6915300
17/07/2001,90.81427791,7469800
18/07/2001,90.19563618,7709300
19/07/2001,90.98571297,10082900
20/07/2001,90.44159947,6705800
23/07/2001,88.6601973,8065200
24/07/2001,87.80304137,12269000
25/07/2001,88.77200158,12088500
26/07/2001,89.70369766,12898200
27/07/2001,90.04656182,8478800
30/07/2001,90.0763761,8547700
31/07/2001,90.44905453,11918100
01/08/2001,91.01552799,11940800
02/08/2001,91.38820642,11070100
03/08/2001,90.88881806,10816300
06/08/2001,89.66643354,8550100
07/08/2001,90.0167468,8865100
08/08/2001,88.34714891,15183800
09/08/2001,88.60802232,14118500
10/08/2001,88.91362162,11173300
13/08/2001,88.93598158,7431600
14/08/2001,88.8987115,13178100
15/08/2001,88.13099467,8520600
16/08/2001,88.43659397,10734700
17/08/2001,87.02041442,11604600
20/08/2001,87.82540133,10417400
21/08/2001,86.32723254,14480800
22/08/2001,87.22165854,11752300
23/08/2001,86.9086094,8744100
24/08/2001,88.71237228,11687700
27/08/2001,88.18316965,7425100
28/08/2001,86.89370525,12046600
29/08/2001,86.11853336,16180000
30/08/2001,84.46384036,17692600
31/08/2001,85.08248806,15985400
04/09/2001,84.53837456,24473400
05/09/2001,84.74707374,21477100
06/09/2001,82.56317811,21653000
07/09/2001,81.03519951,33133900
10/09/2001,82.02652564,23408700
17/09/2001,77.74072365,32388700
18/09/2001,77.55438443,22029200
19/09/2001,75.98913053,42771800
20/09/2001,73.57417577,36210900
21/09/2001,72.78335213,49782100
24/09/2001,75.34214038,25549600
25/09/2001,76.12773597,25466200
26/09/2001,75.85838893,18587500
27/09/2001,76.51678948,20536800
28/09/2001,78.1403528,21687200
01/10/2001,78.01315775,20457400
02/10/2001,78.99328271,19833100
03/10/2001,80.31756564,32045800
04/10/2001,80.38490521,32674100
05/10/2001,80.22778729,29796100
08/10/2001,79.7040554,12970300
09/10/2001,79.27759044,15976300
10/10/2001,81.04330575,19987400
11/10/2001,82.3002551,23006300
12/10/2001,81.92616304,31360500
15/10/2001,81.77652845,16873000
16/10/2001,82.29277177,15877100
17/10/2001,80.54202388,28542300
18/10/2001,80.36993853,16510000
19/10/2001,80.31756564,21912500
22/10/2001,81.90371826,17540600
23/10/2001,81.48473739,22062500
24/10/2001,81.26776324,16065200
25/10/2001,82.72672006,27467900
26/10/2001,82.53967403,18623300
29/10/2001,80.39238331,18727500
30/10/2001,79.42723101,26178600
31/10/2001,79.15788397,28124200
01/11/2001,81.18546224,29806800
02/11/2001,81.739117,17575900
05/11/2001,82.80902032,15929500
06/11/2001,84.09589853,23245800
07/11/2001,83.98366941,19716000
08/11/2001,84.24553237,22563500
09/11/2001,84.33531671,15895800
12/11/2001,83.81906816,26068800
13/11/2001,85.70449517,15296200
14/11/2001,85.78679618,17571300
15/11/2001,85.9439141,19470200
16/11/2001,85.56233869,18134900
19/11/2001,86.61727533,13625400
20/11/2001,85.89154121,16209700
21/11/2001,85.32291977,11470200
23/11/2001,86.549941,6717100
26/11/2001,86.73698704,13726000
27/11/2001,86.36289497,19261400
28/11/2001,84.79918713,20195500
29/11/2001,85.9439141,16354700
30/11/2001,85.33040311,13680300
03/12/2001,84.82163789,15220400
04/12/2001,86.25814994,17239900
05/12/2001,87.83681922,25204000
06/12/2001,87.79192368,17972900
07/12/2001,87.20834155,18857800
10/12/2001,85.57729938,13862700
11/12/2001,85.40522077,20833300
12/12/2001,85.50248246,16171500
13/12/2001,83.84151293,19026700
14/12/2001,84.64206921,16721900
17/12/2001,85.51744914,13925900
18/12/2001,86.02621435,13663700
19/12/2001,86.63224201,20143400
20/12/2001,85.77931284,14867900
21/12/2001,86.29780071,14037700
24/12/2001,86.13264195,5728800
26/12/2001,86.60560796,10304800
27/12/2001,87.13112517,9407300
28/12/2001,87.08608215,10593800
31/12/2001,85.80982285,14619500
02/01/2002,86.73323262,18651900
03/01/2002,87.7167025,15743000
04/01/2002,88.30228658,20140700
07/01/2002,87.67916915,13106500
08/01/2002,87.47646578,12683700
09/01/2002,86.76326305,16610300
10/01/2002,87.14614302,12823400
11/01/2002,86.29029704,13708400
14/01/2002,85.74976198,12301100
15/01/2002,86.44795288,20219900
16/01/2002,84.69872231,17067000
17/01/2002,85.33685158,17283400
18/01/2002,84.9464687,17028000
22/01/2002,84.36089062,11689300
23/01/2002,85.00652882,12438900
24/01/2002,85.2692878,12142800
25/01/2002,85.24676629,12810700
28/01/2002,85.47949483,10589200
29/01/2002,82.79183666,27720800
30/01/2002,83.98551958,34711800
31/01/2002,84.96898946,19909200
01/02/2002,84.57109766,15838500
04/02/2002,82.46901681,24243400
