,PLAYER,TEAM,DIV,CONF,RANK,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,AVG PTS,AVG REB,AVG AST,AVG STL,AVG BLK,AVG PF
183,Jabari Parker,SAC,Pacific,West,20,25,38,9,29,918,531,219,429,51.0,32,119,26.9,61,81,75.3,61,153,214,68,64,45,16,99,1008.8,2,0,-94,13.973684210526315,5.631578947368421,1.7894736842105263,1.1842105263157894,0.42105263157894735,2.6052631578947367
184,Eric Gordon,HOU,Southwest,West,8,31,36,21,15,1016,520,171,463,36.9,96,303,31.7,82,107,76.6,9,62,71,54,43,23,13,70,751.2,0,0,3,14.444444444444445,1.9722222222222223,1.5,0.6388888888888888,0.3611111111111111,1.9444444444444444
185,Bruce Brown,DET,Central,East,26,23,58,18,40,1634,517,198,447,44.3,33,96,34.4,88,119,73.9,61,213,274,230,100,63,29,162,1366.8,4,0,-137,8.913793103448276,4.724137931034483,3.9655172413793105,1.0862068965517242,0.5,2.793103448275862
186,Dwight Howard,LAL,Pacific,West,3,34,69,52,17,1306,517,202,277,72.9,3,5,60.0,110,214,51.4,172,335,507,45,84,31,79,222,1438.9,9,0,162,7.492753623188406,7.3478260869565215,0.6521739130434783,0.4492753623188406,1.144927536231884,3.217391304347826
187,Michael Porter Jr.,DEN,Northwest,West,6,22,55,36,19,903,512,195,383,50.9,62,147,42.2,60,72,83.3,66,193,259,46,49,27,25,100,998.8,9,0,21,9.309090909090909,4.709090909090909,0.8363636363636363,0.4909090909090909,0.45454545454545453,1.8181818181818181
188,Cameron Johnson,PHX,Pacific,West,16,24,57,28,29,1255,504,176,405,43.5,106,272,39.0,46,57,80.7,49,138,187,69,32,36,20,88,967.9,2,0,11,8.842105263157896,3.280701754385965,1.2105263157894737,0.631578947368421,0.3508771929824561,1.543859649122807
189,Delon Wright,DAL,Southwest,West,13,28,73,42,31,1570,504,190,411,46.2,47,127,37.0,77,100,77.0,70,210,280,244,73,85,22,93,1454.0,1,0,37,6.904109589041096,3.835616438356164,3.3424657534246576,1.1643835616438356,0.3013698630136986,1.273972602739726
190,Svi Mykhailiuk,DET,Central,East,26,23,56,17,39,1265,504,166,405,41.0,115,285,40.4,57,70,81.4,17,87,104,106,61,41,4,87,861.8,0,0,-5,9.0,1.8571428571428572,1.8928571428571428,0.7321428571428571,0.07142857142857142,1.5535714285714286
191,Jordan Poole,GSW,Pacific,West,30,21,57,12,45,1274,503,167,502,33.3,74,265,27.9,95,119,79.8,9,109,118,134,74,35,10,94,906.6,0,0,-198,8.824561403508772,2.0701754385964914,2.3508771929824563,0.6140350877192983,0.17543859649122806,1.6491228070175439
192,Derrick Jones Jr.,MIA,Southeast,East,11,23,59,34,25,1375,500,184,349,52.7,37,132,28.0,95,123,77.2,66,167,233,62,30,58,38,130,1130.6,0,0,-28,8.474576271186441,3.9491525423728815,1.0508474576271187,0.9830508474576272,0.6440677966101694,2.2033898305084745
